ID,fmc,lai,landcover,n,soil,443,490,560,665,705,740,783,842,865,945,1375,1610,2190
100,29.6803653,1.05526548,forest,2,1_newsoil.txt,0.027862,0.032683,0.055016,0.048038,0.082522,0.20648,0.25388,0.27056,0.27851,0.29555,0.24657,0.23906,0.12528
101,29.6803653,0.89257421,forest,2,1_newsoil.txt,0.043664,0.054229,0.083943,0.097453,0.13343,0.20388,0.23469,0.25552,0.26452,0.28623,0.26333,0.31106,0.22468
102,29.6803653,0.89257421,forest,2,1_newsoil.txt,0.038177,0.046843,0.073922,0.080975,0.11616,0.20218,0.23756,0.2571,0.26576,0.28607,0.25577,0.28696,0.19196
103,29.6803653,0.89257421,forest,2,1_newsoil.txt,0.033473,0.040445,0.065349,0.066362,0.10117,0.20255,0.24241,0.2608,0.26916,0.28818,0.25076,0.26649,0.16299
104,29.6803653,0.89257421,forest,2,1_newsoil.txt,0.030209,0.035861,0.059439,0.055179,0.090375,0.20671,0.2509,0.26836,0.2765,0.29445,0.25046,0.2527,0.14095
105,29.6803653,0.74212736,forest,2,1_newsoil.txt,0.045008,0.05602,0.086459,0.10135,0.13778,0.20489,0.2344,0.25562,0.26472,0.28686,0.26609,0.31837,0.23303
106,29.6803653,0.74212736,forest,2,1_newsoil.txt,0.040084,0.049394,0.077492,0.086562,0.12236,0.20336,0.23681,0.25691,0.26571,0.28664,0.25949,0.29733,0.20393
107,29.6803653,0.74212736,forest,2,1_newsoil.txt,0.035839,0.043624,0.069778,0.073392,0.10891,0.2036,0.24088,0.25997,0.26852,0.28833,0.25505,0.27937,0.17807
108,29.6803653,0.74212736,forest,2,1_newsoil.txt,0.032846,0.03943,0.064373,0.0632,0.099085,0.20705,0.24804,0.26631,0.27465,0.29353,0.25457,0.26704,0.15815
109,29.6803653,1.42669978,forest,2,2_newsoil.txt,0.030331,0.037154,0.058441,0.063982,0.091226,0.15899,0.18743,0.20177,0.20819,0.22288,0.19784,0.21846,0.14875
110,29.6803653,1.42669978,forest,2,2_newsoil.txt,0.026321,0.031517,0.051168,0.050207,0.077893,0.16567,0.20068,0.21395,0.22018,0.2336,0.19895,0.20158,0.12131
111,29.6803653,1.42669978,forest,2,2_newsoil.txt,0.023077,0.026845,0.045322,0.038258,0.066824,0.17455,0.21609,0.22847,0.23456,0.24688,0.20285,0.18863,0.097663
112,29.6803653,1.42669978,forest,2,2_newsoil.txt,0.021243,0.02395,0.042103,0.02967,0.05992,0.18748,0.23549,0.24729,0.25335,0.26486,0.21191,0.18291,0.080985
113,29.6803653,1.23237228,forest,2,2_newsoil.txt,0.03094,0.037989,0.05959,0.065907,0.093309,0.15827,0.18531,0.19982,0.20626,0.22119,0.19816,0.22199,0.15305
114,29.6803653,1.23237228,forest,2,2_newsoil.txt,0.027162,0.032678,0.052754,0.052922,0.080796,0.16434,0.19723,0.21076,0.21701,0.23076,0.19909,0.20642,0.12737
115,29.6803653,1.23237228,forest,2,2_newsoil.txt,0.024082,0.028246,0.047216,0.041601,0.070336,0.17237,0.21108,0.22377,0.22987,0.24259,0.20252,0.19436,0.10512
116,29.6803653,1.23237228,forest,2,2_newsoil.txt,0.022287,0.025433,0.044065,0.03334,0.063654,0.18402,0.22848,0.24059,0.24665,0.25858,0.21052,0.18874,0.08917
117,29.6803653,1.05526548,forest,2,2_newsoil.txt,0.031615,0.038917,0.060857,0.06806,0.095601,0.1575,0.18315,0.19786,0.20433,0.2195,0.19848,0.22568,0.15775
